title,description,price,product
Vaniljeknuter,"Størrelse
                    
                    
                        420 gram
                    
                
                
                    
                        Utleveringsdager
                    
                    
                        Alle dager
                    
                
                
                    
                        
                            Ingredienser
                        
                        
                            Hvetemel, vann, fullherdet vegetabilsk olje (raps, kokos), gjær, sirup av hvete, inulin, kardemomme, emulgator (E472e, E471), salt, melbehandlingsmiddel (E300), naturlig smøraroma, fargestoff (betakaroten), enzymer (alfa amylase). Fyll (kjernemelk, sukker, vegetabilsk fett (raps), vann, modifisert maisstivelse, konserveringsmiddel (E202), salt, aroma, fargestoff (E101, E160a)). Dekor (perlesukker)
                            
                                
                                Allergikere kan reagere på:
                                Hvetemel, hvete, kjernemelk
                            
                        
                    
                
                
                    
                        
                            
                                Allergener
                            
                            
                                
                                    
                                        
                                        Inneholder
                                        
                                            gluten, 
                                        
                                            melk.
                                        
                                    
                                    
                                
                                
                            
                        
                    
                
                
                
                
                
                
                    
                        
                            Leverandør
                        
                        
                            BAXT AS HOVEDK. LARVIK
                        
                    
                
                
                
                    
                        
                            Oppbevaring
                        
                        
                            Frysevare -18°C eller kaldere. Må ikke fryses etter tining.",39.9,43109
Erter,"Størrelse
                    
                    
                        350 gram
                    
                
                
                    
                        Utleveringsdager
                    
                    
                        Alle dager
                    
                
                
                    
                        
                            Ingredienser
                        
                        
                            Erter.
                            
                        
                    
                
                
                    
                
                
                
                
                
                    
                        
                            Opprinnelse
                        
                        
                            Norge
                        
                    
                
                
                    
                        
                            Leverandør
                        
                        
                            REMA KOIN AS
                        
                    
                
                
                
                    
                        
                            Oppbevaring
                        
                        
                            Frysevare -18°C eller kaldere. Må ikke fryses etter tining.",9.4,43126
Frukost Fullkorn,"Størrelse
                    
                    
                        320 gram
                    
                
                
                    
                        Utleveringsdager
                    
                    
                        Alle dager
                    
                
                
                    
                        
                            Ingredienser
                        
                        
                            Fullkornshvetemel, hvetemel (33 %), rapsolje, valmuefrø (5,4%), sukker, gjær, salt
                            
                                
                                Allergikere kan reagere på:
                                Fullkornshvetemel, hvetemel,
                            
                        
                    
                
                
                    
                        
                            
                                Allergener
                            
                            
                                
                                    
                                        
                                        Inneholder
                                        
                                            gluten.
                                        
                                    
                                    
                                
                                
                                    Kan inneholde spor av
                                    
                                        melk, 
                                    
                                        sesamfrø.
                                    
                                
                            
                        
                    
                
                
                
                
                
                    
                        
                            Opprinnelse
                        
                        
                            Tyskland
                        
                    
                
                
                    
                        
                            Leverandør
                        
                        
                            BARILLA NORGE AS",18.3,43208
Frukost Økonomi,"Størrelse
                    
                    
                        480 gram
                    
                
                
                    
                        Utleveringsdager
                    
                    
                        Alle dager
                    
                
                
                    
                        
                            Ingredienser
                        
                        
                            Hvetemel (89%), rapsolje, valmuefrø (5,5%), gjær, sukker, salt
                            
                                
                                Allergikere kan reagere på:
                                Hvetemel
                            
                        
                    
                
                
                    
                        
                            
                                Allergener
                            
                            
                                
                                    
                                        
                                        Inneholder
                                        
                                            gluten.
                                        
                                    
                                    
                                
                                
                                    Kan inneholde spor av
                                    
                                        melk.
                                    
                                
                            
                        
                    
                
                
                
                
                
                    
                        
                            Opprinnelse
                        
                        
                            Sverige
                        
                    
                
                
                    
                        
                            Leverandør
                        
                        
                            BARILLA NORGE AS",26.2,43208
Frukost Knekkebrød,"Størrelse
                    
                    
                        240 gram
                    
                
                
                    
                        Utleveringsdager
                    
                    
                        Alle dager
                    
                
                
                    
                        
                            Ingredienser
                        
                        
                            Hvetemel (89%), rapsolje, valmuefrø (5,5%), gjær, sukker, salt
                            
                                
                                Allergikere kan reagere på:
                                Hvetemel
                            
                        
                    
                
                
                    
                        
                            
                                Allergener
                            
                            
                                
                                    
                                        
                                        Inneholder
                                        
                                            gluten.
                                        
                                    
                                    
                                
                                
                                    Kan inneholde spor av
                                    
                                        melk.
                                    
                                
                            
                        
                    
                
                
                
                
                
                    
                        
                            Opprinnelse
                        
                        
                            Sverige
                        
                    
                
                
                    
                        
                            Leverandør
                        
                        
                            BARILLA NORGE AS",14.1,43208
Smårettbacon,"Størrelse
                    
                    
                        200 gram
                    
                
                
                    
                        Utleveringsdager
                    
                    
                        Alle dager
                    
                
                
                    
                        
                            Ingredienser
                        
                        
                            Kjøtt av svin (44 %), bacon (45%)  vann, salt, dekstrose, stabilisator E450, E451, E407, røykaroma, aroma, antioksidant E316, konserveringsmiddel E326,  E261, E250.
                            
                        
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                            Leverandør
                        
                        
                            NORTURA SA
                        
                    
                
                
                
                
                
                
                    
                        
                            
                                Holdbarhetsgaranti
                            
                            
                                7 dager Les mer...",53.9,43245
Smårettbacon,"Størrelse
                    
                    
                        200 gram
                    
                
                
                    
                        Utleveringsdager
                    
                    
                        Alle dager
                    
                
                
                    
                        
                            Ingredienser
                        
                        
                            Kjøtt av svin, kokt og røkt(norsk opprinnelse, kjøttinnhold totalt:98%),salt og dekstrose. Tilsatt:konserveringsmiddel:natriumnitritt. Antioksidant:natriumaskorbat. Stabilisator:di-/trifosfat.
                            
                        
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                            Leverandør
                        
                        
                            NORDFJORD KJØTT AS
                        
                    
                
                
                
                
                
                
                    
                        
                            
                                Holdbarhetsgaranti
                            
                            
                                5 dager Les mer...",49.9,43245
Falafel,"Størrelse
                    
                    
                        300 gram
                    
                
                
                    
                        Utleveringsdager
                    
                    
                        Alle dager
                    
                
                
                    
                        
                            Ingredienser
                        
                        
                            Kikärter/kikerter/kikærter (47%), zucchini, lök, vegetabilisk olja/olje (solros/solsikke, raps i varierande proportion), ströbröd/kavring (vetemjöl/hvete-/hvedemel, vatten/vann, salt, jäst/gjær/gær, bakhjälpmedel/bakehjelpemiddel med raps- och palmolja, paprika extrakt), persilja/persille,  kryddor/krydder/krydderi, salt, vatten/vann, stabiliseringsmedel/stabilisator (metylcellulosa), bakpulver/hevemiddel (natriumkarbonater), vitlöks-/hvitløkspulver, jäst/gjær/gær.
                            
                                
                                Allergikere kan reagere på:
                                Vetemjöl/hvete-/hvedemel
                            
                        
                    
                
                
                    
                        
                            
                                Allergener
                            
                            
                                
                                    
                                        
                                        Inneholder
                                        
                                            gluten.
                                        
                                    
                                    
                                
                                
                                    Kan inneholde spor av
                                    
                                        egg, 
                                    
                                        soyabønner, 
                                    
                                        selleri, 
                                    
                                        sennep, 
                                    
                                        sesamfrø.
                                    
                                
                            
                        
                    
                
                
                
                
                
                
                    
                        
                            Leverandør
                        
                        
                            AS NESTLÉ NORGE
                        
                    
                
                
                
                    
                        
                            Oppbevaring
                        
                        
                            Frysevare -18°C eller kaldere. Må ikke fryses etter tining.",47.9,43272
Kornbrød,"Størrelse
                    
                    
                        650 gram
                    
                
                
                    
                        Utleveringsdager
                    
                    
                        Alle dager
                    
                
                
                    
                        
                            Ingredienser
                        
                        
                            HVETEMEL, vann, sammalt HVETE (16%), sammalt RUG (6%), rugflak (6%), solsikkekjerner(4%), linfrø(4%), gjær, maltede HVETEflak (2%), SESAMFRØ (2%), salt, vegetabilsk olje(raps), emulgator(E472e, E471), ), enzymer(alfa-amylase), ascorbinsyre(E300). DEKOR: kornblanding ( HAVREGRYN, linfrø,  hirsefrø, solsikkekjerner, bokhvete, SESAMFRØ.
                            
                                
                                Allergikere kan reagere på:
                                HVETEMEL, HVETE, RUG,rugflak, HVETEflak, SESAMFRØ, HAVREGRYN,
                            
                        
                    
                
                
                    
                        
                            
                                Allergener
                            
                            
                                
                                    
                                        
                                        Inneholder
                                        
                                            gluten, 
                                        
                                            sesamfrø.
                                        
                                    
                                    
                                
                                
                                    Kan inneholde spor av
                                    
                                        egg, 
                                    
                                        soyabønner, 
                                    
                                        melk, 
                                    
                                        nøtter.
                                    
                                
                            
                        
                    
                
                
                
                
                
                    
                        
                            Opprinnelse
                        
                        
                            Norge
                        
                    
                
                
                    
                        
                            Leverandør
                        
                        
                            NÆRBAKST AS",31.9,43279
Grovt surdeigsbrød av spelt fra Godt Brød,"Størrelse
                    
                    
                        850 gram
                    
                
                
                    
                        Utleveringsdager
                    
                    
                        Alle dager
                    
                
                
                
                    
                
                
                
                
                
                
                
                    
                        
                            Egenskaper
                        
                        
                            Økologisk",69.9,43282
